	11809.A11.old	11809.A17.old	11809.A24.new	11809.A3.old	11809.A9.old	11809.B1004	11809.B1005	11809.B1006	11809.B1016	11809.B1017	11809.B1018	11809.B1019	11809.B1020	11809.B1021	11809.B1022	11809.B1023	11809.B1024	11809.B1025	11809.B1026	11809.B1027	11809.B1028	11809.B1029	11809.B1030	11809.B1031	11809.B1032	11809.B1033	11809.B1034	11809.B1035	11809.B1036	11809.B1037	11809.B1038	11809.B1039	11809.B1040	11809.B1041	11809.B1042	11809.B1043	11809.B1044	11809.B1045	11809.B1046	11809.B1047	11809.B1048	11809.B1049	11809.B1050	11809.B1051	11809.B1052	11809.B1053	11809.B1054	11809.B1055	11809.B1056	11809.B1057	11809.B1058	11809.B1059	11809.B1060	11809.B1061	11809.B1062	11809.B1063	11809.B1064	11809.B1065	11809.B1066	11809.B1067	11809.B1068	11809.B1069	11809.B1070	11809.B1071	11809.B1072	11809.B1073	11809.B1074	11809.B1075	11809.B1076	11809.B1077	11809.B1078	11809.B1079	11809.B1080	11809.B1081	11809.B1082	11809.B1083	11809.B1084	11809.B1085	11809.B1086	11809.B721	11809.B723	11809.B725	11809.B727	11809.B729	11809.B731	11809.B733	11809.B735	11809.B737	11809.B739	11809.B741	11809.B743	11809.B745	11809.B747	11809.B749	11809.B751	11809.B753	11809.B755	11809.B757	11809.B759	11809.B761	11809.B763	11809.B765	11809.B767	11809.B769	11809.B771	11809.B773	11809.B775	11809.B777	11809.B779	11809.B781	11809.B783	11809.B785	11809.B787	11809.B789	11809.C1.new	11809.C4.old	11809.N5.old
k__Eukaryota;p__Evosea;c__Eumycetozoa;o__Acytosteliales;f__Acytosteliaceae;g__Heterostelium;s__Heterostelium album	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	273355	343350	326733	281629	922582	716	2070	542	17914	13266	563	22345	60496	28658	25967	18429	17649	11860	24792	18744	23924	16673	19060	14736	13817	8110	19353	16089	24073	25805	12733	5728	8794	7986	21818	10892	48488	13618	13375	9233	8898	11803	7245	18578	27515	13293	17152	17089	14583	9672	7192	21729	26165	38574	12562	24081	25712	7657	27338	9352	61561	37830	24742	26446	19001	12382	19933	22789	48864	18201	30204	18683	28180	16335	21954	23931	67140	36198	34031	142081	170533	143918	228326	259932	12970	125022	75410	258499	92229	80214	43679	308208	117830	265992	139193	147463	278014	92627	118222	60819	88473	68133	261217	67221	27451	110073	1657	44887	75569	147500	684	240120	85658	149513	342902	726819	291277
k__Bacteria;p__Firmicutes	375142	391902	254271	232912	495536	3	10	1	8011	5839	1018	11000	11087	11569	9356	6195	8987	6493	56473	8106	5729	7275	6509	5934	5989	4348	44134	8736	5495	10648	4579	1624	3320	5473	47795	14106	6545	7160	4322	2452	2396	4917	19437	9658	5686	5458	9486	5085	5907	6880	15757	10104	4927	8067	4917	4861	7081	4660	70280	12240	7145	12148	10099	5144	5360	6896	54208	26314	10301	6943	10025	3113	8139	10335	58077	8558	6436	10477	11147	35922	87866	243045	95101	28541	559	33318	30596	85620	27043	43545	80184	112571	15844	40780	42348	43412	80389	26493	25301	107742	65258	8834	41820	13882	6653	37496	1609	13650	103608	72724	151	31464	32690	44783	148967	344984	324709
k__Bacteria;p__Firmicutes;c__Bacilli	1952	716	1884	203	798	0	0	0	2	1	0	2	2	12	1	2	4	3	5	0	3	6	0	2	2	0	2	0	6	14	0	2	0	4	10	2	12	7	0	1	0	10	4	0	5	0	0	5	0	5	3	0	5	19	0	1	3	1	4	3	5	15	1	3	1	5	3	6	11	27	4	1	0	2	2	0	13	41	4	36	19	69	28	50	3	9	53	134	9	16	18	35	37	137	43	48	77	17	23	46	24	18	57	19	90	34	1	10	79	13	0	53	14	52	88	899	997
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	16	9	42	109	13	0	0	0	0	2	0	0	7	7	2	2	0	1	2	1	7	1	0	7	2	3	2	0	9	3	0	2	0	1	4	3	15	3	0	0	0	7	0	0	11	1	0	5	0	2	0	0	2	5	2	3	0	5	2	1	1	7	3	3	0	6	0	2	12	0	3	3	0	4	0	0	10	0	1	54	18	35	17	57	0	5	62	64	9	11	10	14	41	137	19	49	50	28	14	46	8	29	71	19	169	28	3	3	45	10	0	62	24	24	0	32	48
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	7	2	4	16	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	2	0	0	0	0	0	2	1	3	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	1	0	0	2	0	0	6	4	10	6	10	0	1	9	12	1	6	4	6	4	14	7	10	14	4	11	11	2	6	7	4	9	7	0	1	20	4	0	11	5	2	0	8	5
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	51	53	21	55	7	0	0	0	0	3	0	2	6	6	0	1	0	1	0	0	7	1	0	1	0	1	0	0	4	4	0	0	0	1	3	0	7	0	0	1	0	1	0	0	5	0	0	0	0	3	0	0	8	0	0	1	0	0	1	1	7	0	0	1	0	1	0	7	7	0	0	2	0	1	0	0	5	0	3	18	16	25	16	29	1	3	33	42	7	3	11	10	18	39	23	28	32	16	16	18	3	10	43	7	38	22	0	4	49	2	0	30	13	14	5	37	35
k__Bacteria;p__Proteobacteria	11550	282	1341	5	94	18	55	17	19	7	0	0	21	2	0	1	10	17	2	1	16	2	0	2	13	5	0	1	8	8	2	0	42	2	0	0	40	1	19	17	60	55	0	0	13	1	21	128	0	21	0	3	32	7	13	50	113	11	2	1	18	10	33	63	2	18	4	0	21	14	21	42	3	8	2	3	8	3	25	13	543	46	48	4034	6	253	44	1830	1	316	4	48	1556	144	186	24	1961	7	1347	8	5	2097	180	19	17	670	9	296	21	1	6	194	126	887	25	30715	50
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	7475	257	13927	2	40	0	2	1	2	2	0	0	16	0	0	0	1	0	1	0	14	0	0	0	1	1	1	0	12	0	0	0	26	0	1	0	32	1	19	34	26	2	0	0	13	0	9	139	0	5	0	1	34	3	8	36	46	0	0	0	21	1	21	84	0	8	0	0	36	6	22	55	6	3	0	0	7	1	52	1	28	2	2	4787	4	32	28	970	1	32	1	4	2277	94	7	31	891	2	175	0	0	2655	92	3	1	366	2	1	7	0	15	78	0	422	15	3317	21
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	29274	290	7820	6	6	0	0	0	2	0	0	0	83	1	0	0	2	0	0	0	50	2	0	0	2	3	0	0	40	3	0	0	79	0	0	0	134	0	37	29	68	3	0	0	57	0	31	125	0	11	0	0	59	16	13	41	175	2	0	0	80	14	48	81	0	16	0	0	68	28	65	42	5	1	0	2	64	0	74	5	74	1	3	4231	16	119	65	2780	1	40	0	0	1760	499	0	55	2777	1	391	1	0	2320	467	0	1	1070	6	3	0	0	6	362	1	1238	23	7264	40
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	265423	26453	110407	772	13	0	3	0	4	23	0	5	1878	112	0	12	24	37	0	0	826	49	0	4	5	111	0	0	222	179	0	0	2543	48	0	0	1916	9	1452	1535	2491	79	0	0	293	13	1450	7572	0	605	0	0	1971	843	492	2060	4988	29	0	0	395	1102	2180	4429	7	611	0	0	2034	1793	2639	2734	11	48	0	9	304	247	3409	396	2954	35	42	250328	362	8623	3190	85799	106	1964	7	68	98391	8812	7	2696	90314	172	12810	26	0	133296	14329	11	176	33343	498	76	4	6	631	11084	3	39766	159	287437	1271
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	20	422	4350	33	0	0	0	0	0	1	0	0	77	4	0	0	0	1	0	0	18	1	0	0	1	5	0	0	7	2	0	2	36	0	0	0	51	0	68	50	29	6	0	0	6	0	76	148	0	30	0	0	79	25	20	32	83	4	0	0	4	39	106	80	1	17	0	0	73	81	92	45	0	1	0	2	4	3	167	19	92	1	1	4708	16	348	118	1366	11	67	0	4	1998	315	0	94	1477	12	378	0	0	2554	595	0	9	595	24	0	0	0	5	461	0	650	0	10145	59
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	126	2889	26899	140	2	0	0	0	2	13	0	2	415	7	2	0	1	11	0	0	179	12	0	0	0	36	0	0	27	28	0	0	175	18	0	0	271	1	519	171	163	18	0	0	18	2	534	887	0	122	0	0	482	124	156	247	383	11	0	0	29	226	680	559	2	145	0	0	491	331	736	315	2	12	0	3	17	51	1085	144	731	6	5	31793	102	1678	1112	6143	27	444	3	40	11847	1453	3	960	6300	55	2823	4	0	16559	2874	0	28	2403	171	29	1	0	72	2186	0	2955	10	72946	440
k__Eukaryota;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus flavus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Candida	14	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Candida;s__Candida tropicalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4
k__Eukaryota;p__Apicomplexa;c__Aconoidasida;o__Haemosporida;f__Plasmodiidae;g__Plasmodium;s__Plasmodium knowlesi	13	27	1	0	0	2	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	1	0	4	1	3	1	1	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	23
k__Eukaryota;p__Perkinsozoa;c__;o__Perkinsida;f__Perkinsidae;g__Perkinsus;s__Perkinsus marinus	1	10	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	3	8	0	1	0	5	3	6	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	23	9
k__Eukaryota;p__Apicomplexa;c__Conoidasida;o__Eucoccidiorida	0	1	0	0	0	2	22	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	14	6	0	1	2	2	0	0	2	20	0	1	14	0	1	0	9	5	1	4	0	0	2	1	0	0	4	0	0	6	0	1	0	1	10
k__Eukaryota;p__Apicomplexa;c__Conoidasida;o__Eucoccidiorida;f__Cryptosporidiidae;g__Cryptosporidium;s__Cryptosporidium hominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Debaryomyces;s__Debaryomyces hansenii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota;p__Apicomplexa;c__Conoidasida;o__Eucoccidiorida;f__Cryptosporidiidae;g__Cryptosporidium;s__Cryptosporidium muris	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota;p__Apicomplexa;c__Conoidasida;o__Eucoccidiorida;f__Sarcocystidae	0	0	0	0	0	7	12	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	14	4	0	4	0	4	1	2	0	20	1	0	14	0	0	1	2	3	1	0	0	1	1	0	0	1	1	0	0	7	1	0	0	0	1
k__Eukaryota;p__Apicomplexa;c__Conoidasida;o__Eucoccidiorida;f__Sarcocystidae;g__Toxoplasma;s__Toxoplasma gondii	201	1197	65	32	398	3	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	2	2	8	4	1	1	2	2	3	0	0	8	7	1	0	6	1	0	2	6	1	0	0	0	0	4	0	0	0	2	0	0	1	0	2	7	242	445
k__Bacteria;p__Actinobacteria	5292	914	6081	97	92	0	0	0	14	0	0	5	2	2	8	8	12	4	11	1	4	0	3	4	1	2	14	1	2	2	0	3	4	1	14	2	5	0	0	8	6	2	5	1	4	2	3	13	11	2	2	4	0	0	2	15	18	1	8	0	4	1	2	10	6	4	19	4	7	0	3	13	3	5	8	8	3	2	1	21	6	102	25	27	0	4	6	152	6	10	34	24	13	69	12	15	115	7	26	32	10	19	42	0	3	60	0	11	54	14	2	43	3	65	495	130	654
k__Bacteria;p__Actinobacteria;c__Actinobacteria	342	203	374	107	106	23	87	18	7	1	0	0	0	1	1	1	1	1	2	1	1	0	0	0	0	2	3	0	0	0	0	0	3	6	4	0	0	2	0	0	1	34	0	0	1	3	0	1	2	2	1	0	0	2	1	4	5	1	5	0	0	2	0	1	0	0	18	1	0	0	1	0	4	3	4	2	0	1	2	2	24	46	42	14	0	11	5	13	3	14	10	73	7	6	45	10	18	1	53	11	3	9	7	18	57	5	3	5	55	5	0	51	5	16	61	72	188
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	32	12	34	5	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	6	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	2	0	0	0	0	2	28	11
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	62	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xylella;s__Xylella fastidiosa	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	21	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	9	6	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	8	0	0	0	4	0	0	0	12	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	13	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	2	4	232	1	0	1	0	0	3	0	0	275	0	4	3	0	1	0	2	0	71	0	0	5	0	0	0	0	120	2	8	1
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
k__Archaea;p__Euryarchaeota;c__Halobacteria	0	2	5	1	1	7363	22458	5211	638	44	2	53	12	269	85	195	489	198	338	193	59	71	6	217	100	49	55	78	161	12	25	2	301	904	841	3	1	78	0	61	4	5846	683	283	0	242	10	191	46	324	51	224	40	756	21	983	215	193	458	203	24	175	40	21	57	746	1648	162	6	86	10	13	130	175	205	88	102	28	76	1101	3924	5350	14558	3921	76	3926	1686	2647	868	2347	1118	31176	1224	107	12538	819	1597	226	4972	2727	393	2585	84	4363	6299	365	228	1665	5354	222	46	8344	477	969	2	1	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella	9	148	228	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	11	0	0	0	5	0	2	3	14	0	0	0	0	0	4	10	0	1	0	0	3	2	1	2	19	0	0	0	0	2	3	14	0	0	0	0	4	0	10	10	0	0	0	0	2	0	6	1	16	0	0	589	2	11	1	480	0	3	0	0	223	10	0	2	535	0	60	0	0	364	22	0	0	200	0	0	0	0	5	22	0	260	0	1190	2
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella flexneri	23	190	426	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	11	0	0	0	14	0	3	2	16	0	0	0	0	0	5	4	0	3	0	0	7	2	1	0	41	0	0	0	2	2	10	7	0	5	0	0	7	2	5	1	0	0	0	0	0	0	2	1	20	0	0	227	0	15	10	671	0	6	0	0	79	23	0	6	725	1	82	0	0	121	62	0	0	265	0	1	0	0	0	44	0	386	0	1608	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	11	0	15	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	1	0	0	0	0	1	14	0	0	0	0	0	0	0	0	8	0	0	0	11	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	15	4	55	1	2	0	1	0	18	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	14	0	0	0	0	0	0	0	13	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	113	1	0	0	3	1	0	1	1	180	0	1	0	0	0	0	0	0	31	0	0	1	0	0	0	0	91	0	3	12
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Rickettsia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia	33915	8731	29222	9698	36205	0	0	0	252	145	5	201	88	188	667	93	267	195	224	84	100	160	672	108	222	78	112	145	67	150	355	22	154	11	776	122	119	54	333	28	122	41	314	168	24	67	944	66	56	194	197	258	63	131	180	22	231	143	545	110	38	252	659	52	95	128	714	340	122	91	543	31	165	62	508	159	40	444	815	2026	184	1079	1956	1283	16	13	2349	3642	1731	152	148	1659	1034	1198	890	1478	2096	1502	424	316	1031	548	1428	78	282	1210	241	267	727	1049	4	871	394	984	5392	11315	23681
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	0	1	7	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	9	1	0	0	0	0	0	0	1	13	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	11	0	0	1
